project_type,department,state,district,approved_budget,amount_claimed,amount_released,work_completion_percent,expected_completion_days,actual_days_since_start,delay_ratio,invoice_count,average_invoice_amount,largest_invoice_amount,payment_frequency_per_month,same_vendor_invoice_count,inspection_status,last_inspection_days_ago,geo_tagged_proof_submitted,proof_document_count,complaints_count,contractor_previous_projects,contractor_avg_delay_days,contractor_avg_budget_overrun,contractor_blacklist_flag,approved_work_quantity,claimed_work_quantity,verified_work_quantity,quantity_mismatch_ratio,budget_claim_ratio,fraud_score,fraud_label
Bridge Construction,Public Works Department,Uttar Pradesh,Kanpur,38284278.27,42813792.07,19898569.24,47.38,990,799,0.8071,96,445977.0,1877351.02,6.29,18,Completed,278,0,6,18,52,213.96,0.78,1,232703.29,349794.32,136965.68,0.9146,1.1183,0.5646,0
Drainage System,Municipal Administration,Tamil Nadu,Tiruchirappalli,57742860.76,52613580.59,38155671.58,84.38,290,176,0.6069,19,2769135.82,4362583.43,3.14,2,Completed,178,1,14,2,76,32.75,0.17,0,24274.64,23939.9,23107.54,0.0343,0.9112,0.0551,0
Drainage System,Municipal Administration,Andhra Pradesh,Vijayawada,73317538.9,68441456.76,60453975.21,77.38,610,483,0.7918,48,1425863.68,4286684.95,1.66,5,Completed,246,1,30,9,55,27.47,0.14,0,92070.83,101859.08,91847.52,0.1087,0.9335,0.1341,0
Electricity Infrastructure,Energy Department,Rajasthan,Jodhpur,7921395.84,3231820.9,3055035.41,94.71,1051,1018,0.9686,31,104252.29,290692.77,3.43,12,Completed,41,1,45,7,34,15.09,0.02,0,16357.26,16316.43,16265.15,0.0031,0.408,0.0853,0
Electricity Infrastructure,Energy Department,Gujarat,Ahmedabad,13060961.63,6274905.98,5889160.03,68.17,97,44,0.4536,36,174302.94,651783.15,8.14,10,Completed,127,1,62,10,30,40.75,0.19,0,160882.0,147165.76,155786.21,-0.0536,0.4804,0.0224,0
Electricity Infrastructure,Energy Department,Gujarat,Surat,47437785.54,44152216.6,40992977.96,86.16,525,261,0.4971,44,1003459.47,4070017.94,0.62,6,Completed,72,1,48,5,84,5.38,0.21,0,53024.66,53234.18,50091.62,0.0593,0.9307,0.0847,0
Electricity Infrastructure,Energy Department,Maharashtra,Nagpur,47783872.9,46814240.99,46163443.34,81.75,622,305,0.4904,35,1337549.74,5487040.88,8.21,9,Completed,123,1,11,4,83,36.21,0.01,0,3273.31,3589.55,3293.21,0.0905,0.9797,0.0689,0
School Building,Education Department,Karnataka,Mysuru,11378932.47,10447984.19,8380787.31,44.48,249,236,0.9478,18,580443.57,2186668.95,4.32,16,Completed,186,1,42,10,72,33.44,0.06,0,204323.86,186603.92,191287.87,-0.0229,0.9182,0.1999,0
Road Construction,Public Works Department,Tamil Nadu,Coimbatore,88157143.4,56740885.03,52498104.88,98.98,481,505,1.0499,27,2101514.26,3376026.91,4.39,14,Completed,153,1,58,12,4,43.38,0.08,0,223313.69,213142.77,193900.58,0.0862,0.6436,0.0857,0
Welfare Distribution,Social Welfare Department,Kerala,Kochi,19026989.31,5827663.09,5461251.16,66.99,252,133,0.5278,22,264893.78,1416815.73,3.38,1,Completed,3,1,28,1,32,28.14,0.04,0,168018.98,176261.41,157577.99,0.1112,0.3063,0.0471,0
Drainage System,Municipal Administration,Uttar Pradesh,Lucknow,56699745.68,11335140.32,10152671.45,76.4,701,618,0.8816,4,2833785.08,4861484.45,8.76,18,Completed,348,1,17,9,12,1.13,0.13,0,170481.96,176668.45,175193.58,0.0087,0.1999,0.0486,0
Bridge Construction,Public Works Department,Gujarat,Bhavnagar,90853755.33,84936385.54,68959568.04,46.76,960,1047,1.0906,16,5308524.1,14707215.6,7.78,9,Completed,46,0,10,5,70,23.08,0.11,0,10289.86,11396.49,9637.68,0.1709,0.9349,0.3019,0
Electricity Infrastructure,Energy Department,Telangana,Warangal,13755009.67,8456527.11,7088843.05,40.56,516,390,0.7558,51,165814.26,993199.41,7.88,1,Completed,266,1,49,12,36,29.9,0.18,0,125715.2,131844.3,130341.9,0.012,0.6148,0.143,0
School Building,Education Department,Kerala,Thrissur,786788.58,573864.98,471213.2,78.58,991,266,0.2684,50,11477.3,27151.97,6.28,0,Completed,194,1,27,6,44,11.45,0.18,0,86207.24,87095.73,75490.02,0.1346,0.7294,0.0824,0
Hospital Development,Health Department,Andhra Pradesh,Guntur,66310996.01,25356065.97,20104831.55,78.97,708,145,0.2048,36,704335.17,1232757.41,8.89,8,Pending,136,0,9,9,93,25.36,0.18,0,168654.24,172484.23,161750.26,0.0636,0.3824,0.1671,0
Hospital Development,Health Department,Madhya Pradesh,Gwalior,94771280.12,75432224.94,63235090.82,51.26,778,1261,1.6208,60,1257203.75,5667391.3,8.82,10,Failed,31,1,43,7,80,143.97,0.49,1,149068.99,233252.08,64587.21,1.1315,0.7959,0.5913,0
School Building,Education Department,Rajasthan,Jodhpur,47780687.23,8775607.96,7711297.15,61.78,871,786,0.9024,46,190774.09,672652.34,4.05,6,Completed,286,1,78,5,85,26.37,0.15,0,1817.85,1783.45,1841.16,-0.0317,0.1837,0.032,0
Drainage System,Municipal Administration,Madhya Pradesh,Ujjain,46707072.17,11407124.6,9971243.17,77.07,636,573,0.9009,51,223669.11,860647.15,3.37,5,Completed,176,1,41,4,31,40.44,0.17,0,242761.82,241521.2,242641.06,-0.0046,0.2442,0.0604,0
Bridge Construction,Public Works Department,Uttar Pradesh,Varanasi,72057550.59,29092684.5,28818272.65,84.75,377,437,1.1592,19,1531193.92,8705619.73,4.5,4,Failed,49,1,23,11,4,17.06,0.03,0,191071.27,208225.2,164628.85,0.2282,0.4037,0.2124,0
Housing Scheme,Housing Department,Uttar Pradesh,Kanpur,38449668.28,22300997.69,21386790.75,97.21,169,92,0.5444,44,506840.86,2413386.11,6.87,16,Completed,147,1,46,2,20,30.2,0.13,0,100299.2,94830.59,94370.96,0.0046,0.58,0.0235,0
Housing Scheme,Housing Department,Andhra Pradesh,Vijayawada,76411065.44,69503728.01,66415467.7,81.04,387,341,0.8811,36,1930659.11,6122682.8,1.77,18,Completed,141,1,25,7,89,1.59,0.02,0,118981.94,117123.84,123266.72,-0.0516,0.9096,0.0535,0
Housing Scheme,Housing Department,Uttar Pradesh,Lucknow,58142347.67,40820805.37,31844973.1,98.9,975,514,0.5272,24,1700866.89,3742609.57,6.89,3,Pending,67,1,11,6,8,15.94,0.03,1,45107.93,46501.52,46829.3,-0.0073,0.7021,0.1846,0
Hospital Development,Health Department,Kerala,Thiruvananthapuram,48481472.85,41701880.33,35633158.76,55.74,949,532,0.5606,50,834037.61,3464894.39,7.4,3,Completed,169,1,31,7,1,33.9,0.12,0,86921.28,81468.14,90248.41,-0.101,0.8602,0.1018,0
Water Pipeline,Water Resources Department,Telangana,Khammam,73117982.94,60766025.11,45759100.26,13.42,523,972,1.8585,133,456887.41,2451784.4,1.17,13,Pending,66,1,17,46,27,171.47,0.58,1,28356.56,44800.7,22218.95,0.7964,0.8311,0.7742,1
Electricity Infrastructure,Energy Department,Rajasthan,Jodhpur,13396272.99,6018711.95,5818022.36,54.33,302,194,0.6424,23,261683.13,617544.19,4.46,9,Completed,17,1,32,1,33,40.31,0.05,0,83181.39,88110.69,70837.28,0.2077,0.4493,0.0548,0
Electricity Infrastructure,Energy Department,Maharashtra,Aurangabad,45124110.38,10849365.78,7898127.48,74.62,585,412,0.7043,47,230837.57,1196027.85,8.12,8,Completed,106,0,10,3,92,43.86,0.07,0,172240.65,175043.97,179005.74,-0.023,0.2404,0.0765,0
Hospital Development,Health Department,Tamil Nadu,Chennai,78254990.01,33882950.62,32259410.04,76.12,849,769,0.9058,46,736585.88,4347560.89,6.45,13,Completed,297,0,6,4,61,21.82,0.07,0,152454.96,139162.17,157026.46,-0.1172,0.433,0.1431,0
Housing Scheme,Housing Department,Telangana,Khammam,46668287.95,38490567.8,35884434.85,61.06,440,470,1.0682,38,1012909.68,5033066.06,5.55,17,Completed,148,0,4,8,59,20.44,0.18,0,234180.07,224852.55,202181.88,0.0968,0.8248,0.2393,0
Drainage System,Municipal Administration,Gujarat,Ahmedabad,79280617.98,91007652.2,67628193.11,7.6,750,684,0.912,65,1400117.73,2180523.76,7.26,54,Completed,336,0,1,70,75,102.68,0.83,1,171001.49,205745.54,133011.21,0.4253,1.1479,0.7496,1
Hospital Development,Health Department,Madhya Pradesh,Gwalior,90619792.74,84225358.35,77438547.07,86.25,1008,493,0.4891,11,7656850.76,11230391.81,3.14,6,Completed,38,1,40,2,54,25.08,0.04,0,114975.0,116140.11,114803.22,0.0116,0.9294,0.0295,0
Electricity Infrastructure,Energy Department,Madhya Pradesh,Gwalior,67917558.38,49227240.1,40197835.92,36.13,93,48,0.5161,16,3076702.51,7540942.49,6.15,13,Completed,307,1,16,12,43,5.2,0.09,0,231702.0,216246.83,236899.74,-0.0891,0.7248,0.1525,0
Hospital Development,Health Department,Karnataka,Belagavi,84025689.28,78723440.12,47148281.94,52.72,739,1202,1.6265,72,1093381.11,6230744.23,8.19,102,Completed,352,0,2,10,100,85.37,0.82,1,96255.59,147673.43,62249.12,0.8875,0.9369,0.665,1
Road Construction,Public Works Department,Telangana,Karimnagar,75500830.18,78117522.63,65526034.97,10.28,718,663,0.9234,117,667671.13,3203595.63,6.04,25,Pending,185,0,5,62,76,45.89,0.76,1,18652.45,32276.6,9859.56,1.2018,1.0347,0.8175,1
Drainage System,Municipal Administration,Rajasthan,Udaipur,38883240.26,7880245.29,5604508.46,53.18,485,482,0.9938,12,656687.11,3499116.94,7.72,17,Completed,307,1,16,4,41,14.74,0.11,0,3426.18,3588.42,2901.66,0.2004,0.2027,0.0224,0
School Building,Education Department,Telangana,Nizamabad,76027306.52,26292715.18,20532128.64,94.06,592,167,0.2821,11,2390246.83,5205034.57,5.17,11,Completed,74,1,57,10,11,0.52,0.04,0,155574.02,159922.34,142123.7,0.1144,0.3458,0.0731,0
Housing Scheme,Housing Department,Tamil Nadu,Tiruchirappalli,60006298.16,39699090.37,34101892.41,82.97,749,763,1.0187,38,1044712.9,4219434.08,5.61,4,Completed,262,0,5,2,33,5.53,0.13,0,16047.85,15031.92,14777.89,0.0158,0.6616,0.1185,0
Welfare Distribution,Social Welfare Department,Andhra Pradesh,Guntur,79397762.9,19660032.97,19159075.14,37.5,344,101,0.2936,14,1404288.07,5671692.47,0.76,7,Pending,28,1,67,6,73,22.09,0.07,0,37387.92,41517.16,32287.68,0.2469,0.2476,0.1528,0
Welfare Distribution,Social Welfare Department,Rajasthan,Udaipur,8097179.22,9111949.94,8034471.47,26.28,237,350,1.4768,111,82089.64,331801.9,1.75,47,Pending,330,0,8,43,11,52.01,0.25,1,225389.37,325705.3,182119.4,0.6371,1.1253,0.7799,1
Welfare Distribution,Social Welfare Department,Tamil Nadu,Madurai,91776277.27,73891334.0,56420634.77,97.81,100,48,0.48,35,2111180.97,12394901.32,8.97,16,Completed,173,1,67,2,49,11.88,0.13,0,106125.21,96200.1,104412.7,-0.0774,0.8051,0.0125,0
Hospital Development,Health Department,Tamil Nadu,Coimbatore,70372058.32,70157770.76,66216946.26,35.69,934,187,0.2002,23,3050337.86,17108875.46,7.34,9,Completed,261,1,18,12,71,0.87,0.16,0,75039.65,69410.24,66415.56,0.0399,0.997,0.2112,0
Water Pipeline,Water Resources Department,Rajasthan,Jodhpur,23140645.42,35832134.43,20833364.12,51.48,381,475,1.2467,118,303662.16,1609955.29,6.81,79,Pending,84,0,7,77,62,80.74,0.56,1,178032.54,254460.86,63077.8,1.075,1.5485,0.9743,1
Water Pipeline,Water Resources Department,Maharashtra,Mumbai,12292455.77,17461286.69,10649950.27,59.41,283,448,1.583,81,215571.44,459379.08,7.71,36,Pending,117,0,1,25,42,73.04,0.71,1,235931.5,421414.13,123079.04,1.2645,1.4205,0.7864,1
Road Construction,Public Works Department,Rajasthan,Jaipur,85368305.64,39368752.45,30737237.1,76.35,621,363,0.5845,50,787375.05,4348751.65,1.05,7,Completed,311,1,14,0,9,38.25,0.02,0,194875.15,206133.24,186611.04,0.1002,0.4612,0.01,0
Drainage System,Municipal Administration,Kerala,Kollam,55236536.61,40982513.51,40372231.91,49.75,106,117,1.1038,24,1707604.73,3511231.31,1.29,12,Completed,164,1,34,3,100,10.74,0.09,0,188956.47,172491.54,195518.0,-0.1219,0.7419,0.1552,0
Drainage System,Municipal Administration,Maharashtra,Nashik,49275495.23,18569932.05,13168952.25,45.98,712,216,0.3034,24,773747.17,1416864.48,4.83,6,Completed,119,1,21,5,21,30.63,0.12,0,16829.79,17062.51,16176.78,0.0526,0.3769,0.066,0
Housing Scheme,Housing Department,Kerala,Thrissur,52180804.87,27259552.91,20435609.6,48.65,537,508,0.946,23,1185197.95,2700125.16,2.06,0,Pending,332,1,13,1,20,16.87,0.08,0,40707.64,40830.39,42092.61,-0.031,0.5224,0.1322,0
School Building,Education Department,Rajasthan,Ajmer,11668242.45,11225093.83,10492751.51,67.15,1072,932,0.8694,44,255115.77,938476.87,2.83,1,Pending,183,1,76,12,18,10.73,0.04,0,204649.8,228504.09,188909.19,0.1935,0.962,0.2393,0
Bridge Construction,Public Works Department,Karnataka,Mangaluru,23769555.87,16067051.47,13154621.49,54.25,61,48,0.7869,48,334730.24,997225.35,5.06,16,Completed,109,1,75,12,28,43.46,0.12,0,51329.96,51783.33,50014.68,0.0345,0.676,0.0854,0
Welfare Distribution,Social Welfare Department,Rajasthan,Kota,60432188.05,25672163.0,21915296.66,80.62,956,851,0.8902,42,611241.98,1886071.58,4.02,12,Completed,222,1,10,1,16,26.39,0.21,0,197003.64,207828.45,165806.09,0.2133,0.4248,0.1044,0
Welfare Distribution,Social Welfare Department,Kerala,Thiruvananthapuram,40124860.17,30686051.38,25810712.66,36.15,743,306,0.4118,53,578982.1,1110443.77,4.9,13,Completed,343,1,11,2,8,28.52,0.13,0,223864.73,212016.5,222218.43,-0.0456,0.7648,0.1964,0
School Building,Education Department,Rajasthan,Udaipur,45811188.19,56093780.66,49443444.23,33.33,226,371,1.6416,92,609715.01,2193222.77,4.84,62,Pending,115,1,20,85,7,204.48,0.63,1,125440.89,181799.11,101095.56,0.6434,1.2245,0.8777,1
Road Construction,Public Works Department,Rajasthan,Jaipur,42077167.88,29046427.31,25690804.91,88.39,69,70,1.0145,38,764379.67,2890877.45,2.05,5,Completed,216,1,60,11,14,37.2,0.02,0,82847.15,82461.64,81032.74,0.0172,0.6903,0.0498,0
Electricity Infrastructure,Energy Department,Karnataka,Hubballi,23504149.48,22394897.26,19722458.69,34.97,560,1089,1.9446,113,198184.93,784296.36,3.88,24,Pending,85,0,7,34,89,77.65,0.38,1,56756.11,88868.54,30143.22,1.0347,0.9528,0.8098,1
Water Pipeline,Water Resources Department,Maharashtra,Pune,608409.47,719960.31,411626.11,15.14,233,203,0.8712,86,8371.63,50067.26,1.67,29,Pending,62,1,40,26,37,54.62,0.46,1,92909.9,171697.72,37532.88,1.444,1.1833,0.6706,1
Drainage System,Municipal Administration,Telangana,Khammam,97240323.76,73126541.41,60079556.5,59.37,1061,1725,1.6258,44,1661966.85,8259357.57,2.32,68,Completed,327,0,3,26,100,138.19,0.5,1,227621.93,332980.09,138019.78,0.8565,0.752,0.563,0
Electricity Infrastructure,Energy Department,Rajasthan,Kota,84946557.2,67778495.86,57370900.02,40.54,503,399,0.7932,29,2337189.51,7242328.04,1.39,6,Completed,143,1,44,5,37,3.62,0.19,0,153604.97,146056.44,132702.13,0.0869,0.7979,0.1367,0
Hospital Development,Health Department,Maharashtra,Mumbai,73857935.37,54112893.18,49828877.6,80.55,523,412,0.7878,38,1424023.5,4371101.89,1.82,10,Completed,228,1,58,11,95,11.27,0.13,0,34877.66,33294.69,29727.21,0.1023,0.7327,0.0259,0
Hospital Development,Health Department,Gujarat,Rajkot,96795342.85,72070942.21,71928801.26,35.35,145,58,0.4,53,1359829.1,2802874.03,1.72,14,Completed,104,1,32,10,3,18.47,0.17,0,187671.44,178939.16,192236.3,-0.0709,0.7446,0.1641,0
Hospital Development,Health Department,Uttar Pradesh,Varanasi,15756223.05,7676760.57,7326622.82,38.77,340,369,1.0853,5,1535352.11,8006278.7,2.28,17,Completed,117,1,10,0,5,30.85,0.2,0,37492.96,35160.33,38089.98,-0.0781,0.4872,0.013,0
Welfare Distribution,Social Welfare Department,Andhra Pradesh,Nellore,36201375.75,28199482.23,24873026.38,44.85,459,253,0.5512,12,2349956.85,7642731.31,6.1,16,Completed,18,1,73,10,38,29.57,0.14,0,64397.41,61042.85,56516.75,0.0703,0.779,0.1432,0
School Building,Education Department,Gujarat,Bhavnagar,66301596.76,16292046.61,15345066.02,74.44,206,85,0.4126,33,493698.38,2850288.83,0.56,5,Completed,275,1,75,1,92,40.57,0.2,0,14670.94,14910.07,14219.5,0.0471,0.2457,0.0097,0
Water Pipeline,Water Resources Department,Uttar Pradesh,Agra,63366966.68,59812274.98,52855209.09,42.56,954,459,0.4811,48,1246089.06,4544901.04,5.77,13,Completed,62,0,6,2,94,5.98,0.22,0,198574.53,182284.74,196690.59,-0.0725,0.9439,0.2327,0
Bridge Construction,Public Works Department,Maharashtra,Mumbai,19812050.11,11776055.58,8492960.0,63.54,695,650,0.9353,7,1682293.65,6146050.16,7.61,11,Pending,255,1,75,2,39,42.43,0.21,0,108387.0,108784.73,112887.03,-0.0378,0.5944,0.051,0
School Building,Education Department,Madhya Pradesh,Jabalpur,45199120.67,37333617.21,23692681.57,18.62,60,88,1.4667,141,264777.43,1171960.99,6.58,104,Completed,143,0,8,90,32,159.87,0.58,1,194748.81,316122.91,82771.56,1.1982,0.826,0.9251,1
Hospital Development,Health Department,Madhya Pradesh,Jabalpur,31652081.16,21994964.4,20723418.02,37.39,559,191,0.3417,20,1099748.22,6327641.81,8.32,15,Completed,173,1,26,12,16,28.9,0.04,0,211560.94,221357.43,186114.24,0.1666,0.6949,0.1236,0
Housing Scheme,Housing Department,Tamil Nadu,Coimbatore,60790291.0,33373575.34,23502402.46,99.64,734,678,0.9237,48,695282.82,2623348.85,6.29,1,Completed,114,1,24,9,49,1.53,0.16,0,76726.82,74034.5,69182.68,0.0632,0.549,0.0114,0
Drainage System,Municipal Administration,Uttar Pradesh,Agra,55533159.02,43590214.73,33304350.53,61.11,459,312,0.6797,36,1210839.3,2589275.55,1.49,14,Pending,306,0,3,1,75,34.17,0.1,0,13911.91,15480.5,12547.49,0.2108,0.7849,0.2974,0
Welfare Distribution,Social Welfare Department,Karnataka,Bengaluru,75329966.43,73460161.54,69176822.43,55.46,758,387,0.5106,23,3193920.07,17944574.75,0.6,7,Pending,104,1,54,6,24,33.61,0.15,0,240824.56,232358.74,204980.39,0.1137,0.9752,0.2512,0
School Building,Education Department,Tamil Nadu,Salem,32446301.56,21898803.63,21103705.56,59.73,425,502,1.1812,53,413184.97,2416510.66,2.82,15,Pending,309,1,68,7,81,20.7,0.13,0,220201.83,207661.72,214790.07,-0.0324,0.6749,0.1452,0
Bridge Construction,Public Works Department,Telangana,Nizamabad,14573441.85,10641249.27,10047096.27,53.49,159,95,0.5975,6,1773541.54,5054641.09,2.63,7,Completed,85,1,73,10,90,38.76,0.08,0,173788.4,171160.93,173424.14,-0.013,0.7302,0.0807,0
Hospital Development,Health Department,Uttar Pradesh,Lucknow,84074967.17,74242047.7,60189943.88,37.75,651,437,0.6713,28,2651501.7,4257014.75,7.03,9,Completed,141,1,76,12,56,19.93,0.02,0,182609.09,196882.09,182752.94,0.0774,0.883,0.2075,0
Welfare Distribution,Social Welfare Department,Uttar Pradesh,Varanasi,3726214.63,1394415.55,1382515.03,67.78,924,993,1.0747,7,199202.22,497493.56,0.53,6,Completed,71,1,34,4,41,40.77,0.2,0,238730.17,258733.11,233201.64,0.1069,0.3742,0.0601,0
Water Pipeline,Water Resources Department,Andhra Pradesh,Nellore,85758680.67,78745144.27,70567100.25,83.19,498,192,0.3855,16,4921571.52,28554525.6,8.04,16,Completed,41,1,61,11,62,3.91,0.22,0,76318.79,84779.21,72342.61,0.163,0.9182,0.1128,0
Hospital Development,Health Department,Madhya Pradesh,Jabalpur,95937445.22,27830602.7,21253437.92,35.17,195,203,1.041,48,579804.22,949451.62,6.57,15,Pending,107,1,67,7,3,8.84,0.03,0,210189.62,221736.24,183695.83,0.181,0.2901,0.2049,0
School Building,Education Department,Maharashtra,Aurangabad,99284136.37,86737841.31,70921165.03,30.29,747,766,1.0254,39,2224047.21,8718132.1,2.03,82,Completed,74,0,7,58,66,30.69,0.52,1,230719.44,416420.58,90231.56,1.4138,0.8736,0.7142,1
Road Construction,Public Works Department,Andhra Pradesh,Kurnool,3054000.57,605575.33,430886.6,73.96,909,319,0.3509,12,50464.61,77210.7,8.48,7,Completed,179,1,54,0,21,25.0,0.08,0,232440.33,235775.39,207923.52,0.1198,0.1983,0.0884,0
School Building,Education Department,Rajasthan,Kota,41024544.8,34775497.46,31415505.57,59.32,292,450,1.5411,143,243185.3,761814.99,5.76,96,Pending,73,0,3,21,42,79.69,0.16,1,27861.08,40930.54,17545.24,0.8394,0.8477,0.7692,1
Water Pipeline,Water Resources Department,Rajasthan,Kota,42238736.59,18251842.29,16074311.49,69.69,268,82,0.306,50,365036.85,1553457.0,7.83,3,Completed,90,1,67,4,19,37.94,0.02,0,167883.83,173700.07,161158.19,0.0747,0.4321,0.0411,0
Road Construction,Public Works Department,Gujarat,Vadodara,39787438.9,27344090.92,23019885.91,55.67,388,358,0.9227,4,6836022.73,9635229.53,7.93,7,Completed,229,1,17,5,78,6.18,0.04,0,243986.1,258317.81,243459.55,0.0609,0.6873,0.0609,0
Housing Scheme,Housing Department,Telangana,Hyderabad,85388826.05,71535217.54,63501209.76,59.78,198,140,0.7071,45,1589671.5,4933486.06,4.28,9,Completed,283,1,80,10,3,9.34,0.05,0,212916.67,221516.29,182949.01,0.1811,0.8378,0.0926,0
Drainage System,Municipal Administration,Telangana,Hyderabad,90717309.69,89312586.3,69206296.56,23.91,679,1107,1.6303,90,992362.07,1417382.05,3.21,77,Pending,85,0,2,9,57,102.74,0.2,1,129226.25,227010.55,86166.07,1.0899,0.9845,0.8548,1
Bridge Construction,Public Works Department,Rajasthan,Ajmer,2593713.36,3517255.75,1969774.72,45.9,89,74,0.8315,173,20330.96,80154.78,3.09,83,Pending,316,1,13,39,98,125.6,0.4,0,174391.39,284980.95,123066.05,0.9285,1.3561,0.6485,1
Drainage System,Municipal Administration,Karnataka,Hubballi,46439554.16,37958808.26,30782789.94,76.29,880,295,0.3352,18,2108822.68,9926624.28,2.52,15,Completed,84,1,10,12,71,34.32,0.12,0,148568.94,142660.45,150791.23,-0.0547,0.8174,0.013,0
Drainage System,Municipal Administration,Maharashtra,Nashik,79186549.5,57034353.18,53585039.48,43.91,657,445,0.6773,9,6337150.35,24775771.05,3.98,16,Completed,238,1,69,4,91,43.1,0.06,0,71865.71,77889.15,67401.27,0.1459,0.7203,0.1687,0
Drainage System,Municipal Administration,Gujarat,Vadodara,41577729.11,31852405.76,26600883.78,73.67,496,165,0.3327,15,2123493.72,8141078.66,6.78,5,Pending,340,1,52,12,79,23.49,0.18,0,184147.11,184265.24,184463.4,-0.0011,0.7661,0.1516,0
Welfare Distribution,Social Welfare Department,Gujarat,Vadodara,37113255.32,24036482.6,21702922.18,72.89,169,189,1.1183,52,462240.05,2144895.03,0.9,2,Completed,103,1,26,6,25,1.7,0.11,0,16795.54,16809.09,14128.28,0.1596,0.6477,0.0662,0
Hospital Development,Health Department,Kerala,Kollam,79117244.39,45274776.53,32211511.33,94.43,724,856,1.1823,49,923975.03,1876140.18,1.41,6,Pending,36,1,39,4,70,0.33,0.16,0,69954.17,67501.03,62863.61,0.0663,0.5722,0.1672,0
Water Pipeline,Water Resources Department,Tamil Nadu,Tiruchirappalli,7848432.14,6428609.14,4734635.13,70.83,335,101,0.3015,38,169173.92,580352.0,6.69,8,Completed,102,1,19,6,43,9.04,0.21,0,130600.69,119838.25,127035.01,-0.0551,0.8191,0.1037,0
Electricity Infrastructure,Energy Department,Rajasthan,Kota,81044485.88,34906645.23,26276233.34,41.84,495,531,1.0727,40,872666.13,3854359.84,7.26,15,Pending,219,1,45,0,51,3.31,0.03,0,39373.05,37597.34,37000.49,0.0152,0.4307,0.1015,0
Water Pipeline,Water Resources Department,Telangana,Khammam,71287354.09,53666769.49,41301806.49,85.57,1020,248,0.2431,15,3577784.63,18354961.56,5.52,15,Completed,124,1,18,4,15,8.6,0.03,0,148939.57,161405.02,148041.41,0.0897,0.7528,0.0702,0
Hospital Development,Health Department,Telangana,Karimnagar,95529374.07,110769285.58,93964021.43,10.44,456,779,1.7083,97,1141951.4,3658759.93,7.6,41,Pending,28,0,2,32,75,128.51,0.26,1,33917.41,65210.12,15831.45,1.4559,1.1595,0.8938,1
Electricity Infrastructure,Energy Department,Rajasthan,Jodhpur,49106238.49,31214866.77,24509583.85,50.1,589,371,0.6299,22,1418857.58,6234473.35,3.36,14,Completed,45,0,8,5,87,43.11,0.05,0,198494.55,220493.41,172480.58,0.2419,0.6357,0.1614,0
Bridge Construction,Public Works Department,Gujarat,Ahmedabad,85136722.82,84084721.91,52503735.76,25.79,662,777,1.1737,66,1274010.94,5516861.37,1.21,108,Pending,13,0,5,11,57,88.02,0.84,1,166762.74,281533.95,117941.02,0.981,0.9876,0.8121,1
Welfare Distribution,Social Welfare Department,Kerala,Kollam,38048843.73,26789554.86,26033352.77,99.14,665,574,0.8632,47,569990.53,1807618.88,7.86,5,Completed,148,1,50,8,84,35.23,0.02,0,21401.05,23399.81,19125.89,0.1997,0.7041,0.0719,0
School Building,Education Department,Karnataka,Hubballi,4415898.42,3084698.27,2831980.51,75.73,282,77,0.273,15,205646.55,993231.59,2.99,3,Completed,342,1,30,6,80,39.13,0.2,0,170628.82,186133.28,146419.41,0.2328,0.6985,0.0255,0
Drainage System,Municipal Administration,Kerala,Thiruvananthapuram,73605989.97,18296228.85,17583509.36,52.42,1024,241,0.2354,55,332658.71,1096860.2,2.07,0,Pending,18,1,14,9,90,41.45,0.16,0,18925.3,19024.23,16388.02,0.1393,0.2486,0.1592,0
Hospital Development,Health Department,Telangana,Khammam,6148550.83,5048695.99,3744803.85,78.18,718,636,0.8858,32,157771.75,330051.89,3.71,7,Completed,27,1,52,1,57,41.29,0.17,0,107159.19,112989.49,91336.53,0.2021,0.8211,0.0856,0
Water Pipeline,Water Resources Department,Rajasthan,Jaipur,68048978.89,28327669.18,24866086.3,87.12,1063,493,0.4638,4,7081917.29,25873091.4,1.44,5,Completed,183,1,53,0,62,24.86,0.22,0,171531.72,175928.77,175880.88,0.0003,0.4163,0.0589,0
Welfare Distribution,Social Welfare Department,Rajasthan,Jodhpur,49222838.71,51569640.2,32713908.62,61.13,337,522,1.549,132,390679.09,1449964.23,7.83,61,Pending,129,0,5,15,33,166.67,0.17,1,97811.09,146904.59,72783.54,0.7578,1.0477,0.7283,1
Electricity Infrastructure,Energy Department,Tamil Nadu,Madurai,62302569.76,18093824.1,14258727.72,43.86,63,54,0.8571,20,904691.21,2435964.48,1.57,3,Failed,320,1,15,0,14,9.87,0.06,0,233471.45,223071.35,211979.96,0.0475,0.2904,0.1195,0
School Building,Education Department,Telangana,Khammam,2827280.02,2432470.07,1880466.46,93.31,826,689,0.8341,48,50676.46,290672.65,1.71,4,Completed,273,1,28,7,76,21.82,0.08,0,69147.8,66373.37,60006.61,0.0921,0.8604,0.046,0
Hospital Development,Health Department,Tamil Nadu,Salem,3824341.95,3640437.1,1959928.35,29.08,177,214,1.209,53,68687.49,400639.24,0.85,43,Failed,150,0,7,29,59,140.33,0.16,0,133473.62,185036.35,98105.65,0.6513,0.9519,0.6309,1
